LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
110472236569,Briarwood Con,M,S1400,001,44,2023
110472236140,Old Chimney Rd,M,S1400,001,44,2023
110472235854,Old County Rd,M,S1400,001,44,2023
1108297133360,Old Ferry Rd,M,S1400,001,44,2023
110472235853,Old County Rd,M,S1400,001,44,2023
110472235608,Old Ferry Rd,M,S1400,001,44,2023
110472235946,Old Market St,M,S1400,001,44,2023
110472235711,Old River Rd,M,S1400,001,44,2023
1108297133362,Old Ferry Rd,M,S1400,001,44,2023
110472237142,Old Orchard Farm Rd,M,S1400,001,44,2023
110472235948,Old Market St,M,S1400,001,44,2023
110472235947,Old Market St,M,S1400,001,44,2023
110472235855,Old County Rd,M,S1400,001,44,2023
110472235615,Old Forge Rd,M,S1400,001,44,2023
110472235852,Old County Rd,M,S1400,001,44,2023
110472235856,Old County Rd,M,S1400,001,44,2023
110472235609,Old Ferry Rd,M,S1400,001,44,2023
1105643501703,N Lake Dr,M,S1400,001,44,2023
110472235413,N Farm Dr,M,S1400,001,44,2023
110472236150,N Cornell Ave,M,S1400,001,44,2023
110472235960,S Meadow Ln,M,S1400,001,44,2023
1103228047642,S Grove Ave,M,S1400,001,44,2023
110472236151,S Cornell Ave,M,S1400,001,44,2023
1106087994662,S Lake Dr,M,S1400,001,44,2023
110472235861,S Cutler St,M,S1400,001,44,2023
1103672895025,S Main St,M,S1200,001,44,2023
110472235369,E Low Ln,M,S1400,001,44,2023
110472235488,E Side Dr,M,S1400,001,44,2023
11019653509541,E Bay Bike Path,M,S1820,001,44,2023
11019653508678,E Bay Bike Path,M,S1820,001,44,2023
1106254827913,E Spring St,M,S1400,001,44,2023
110472235901,W Harbor Rd,M,S1400,001,44,2023
110472235666,Lewis St,M,S1400,001,44,2023
1104755709903,Highland Ave,M,S1400,001,44,2023
110472236919,Chachapacassett Rd,M,S1400,001,44,2023
110472236488,Rumstick Dr,M,S1400,001,44,2023
110472235925,Lillis Ave,M,S1400,001,44,2023
1106254831223,Wampanoag Trl,M,S1200,001,44,2023
110472236658,Mathewson Rd,M,S1400,001,44,2023
1103545436222,Walsh Ave,M,S1400,001,44,2023
110472235444,Lake Ave,M,S1400,001,44,2023
110472236440,Mayfield Rd,M,S1400,001,44,2023
110472236925,St Andrews School St,M,S1400,001,44,2023
110472236810,Bittersweet Ct,M,S1400,001,44,2023
110472235845,County Rd,M,S1200,001,44,2023
110472236077,Walnut Rd,M,S1400,001,44,2023
110472236382,Fountain Ave,M,S1400,001,44,2023
110472236303,Terrace Dr,M,S1400,001,44,2023
110472236264,Pinetop Rd,M,S1400,001,44,2023
1106254830971,Grassy Plain Rd,M,S1400,001,44,2023
1106254827314,Rogers Ave,M,S1400,001,44,2023
110472236175,Francis St,M,S1400,001,44,2023
110472236539,Woodbine Ave,M,S1400,001,44,2023
110472235691,Ocean Ave,M,S1400,001,44,2023
110472236480,Rosedale Ave,M,S1400,001,44,2023
110472236419,Highview Ave,M,S1400,001,44,2023
110472236606,Fairfield Rd,M,S1400,001,44,2023
1103604710013,Townsend St,M,S1400,001,44,2023
110472236107,Anthony Rd,M,S1400,001,44,2023
110472236310,Vermont Ave,M,S1400,001,44,2023
110472236825,Connecticut Ave,M,S1400,001,44,2023
110472235685,Noble Ave,M,S1400,001,44,2023
110472236291,Simmons Rd,M,S1400,001,44,2023
110472235595,Ellis St,M,S1400,001,44,2023
110472235920,Laurel Ln,M,S1400,001,44,2023
110472236546,Woodward Ave,M,S1400,001,44,2023
1103662085646,Annie's Way,M,S1400,001,44,2023
110472235513,Anoka Ave,M,S1400,001,44,2023
110472236662,Nathaniel Rd,M,S1400,001,44,2023
110472236683,Riverside Dr,M,S1400,001,44,2023
110472235669,Manor Rd,M,S1400,001,44,2023
110472235881,Foster St,M,S1400,001,44,2023
110472236332,Bayberry Ln,M,S1400,001,44,2023
110472236618,Half Mile Rd,M,S1400,001,44,2023
110472235818,Chapin Rd,M,S1400,001,44,2023
110472235982,Oxford Rd,M,S1400,001,44,2023
110472236692,Spindrift Way,M,S1400,001,44,2023
110472235908,Indigo Rd,M,S1400,001,44,2023
110472235992,Palmer St,M,S1400,001,44,2023
1104761995472,NA,NA,S1630,001,44,2023
110472236797,Strawberry Dr,M,S1400,001,44,2023
110472235923,Legion Way,M,S1400,001,44,2023
110472235644,Josal Dr,M,S1400,001,44,2023
1104755642809,Woodhaven Rd,M,S1400,001,44,2023
110472236665,Oak Manor Dr,M,S1400,001,44,2023
110472236874,Mallard Cove Way,M,S1400,001,44,2023
1103545919918,Veritas Way,M,S1400,001,44,2023
110472235707,Regal Pt,M,S1400,001,44,2023
110472235738,Stacy St,M,S1400,001,44,2023
110472235398,Colt Dr,M,S1400,001,44,2023
110472236052,Thames St,M,S1400,001,44,2023
110472235396,Colt Dr,M,S1400,001,44,2023
110472237188,NA,NA,S1400,001,44,2023
110472236899,Colt State Pk,M,S1400,001,44,2023
110472237204,NA,NA,S1400,001,44,2023
110472236887,Patricia Ann Dr,M,S1400,001,44,2023
110472237127,NA,NA,S1400,001,44,2023
110472235783,Ballou Blvd,M,S1400,001,44,2023
1104755638783,Broadcommon Rd,M,S1400,001,44,2023
110472236826,Corte Reale Dr,M,S1400,001,44,2023
110472237243,NA,NA,S1640,001,44,2023
110472236415,Highland Rd,M,S1400,001,44,2023
110472235601,Fales Rd,M,S1400,001,44,2023
110472236138,Chester Ave,M,S1400,001,44,2023
110472236803,Washington St,M,S1400,001,44,2023
1105598258742,Valley Dr,M,S1400,001,44,2023
110472236944,Benjamin Church Manr Dr,M,S1400,001,44,2023
110472236033,Sowams Dr,M,S1400,001,44,2023
110472235700,Perry St,M,S1400,001,44,2023
110472236892,Silver Creek Ct,M,S1400,001,44,2023
110472235970,Monroe Ave,M,S1400,001,44,2023
110472235517,Baker St,M,S1400,001,44,2023
110472236112,Bayview Ave,M,S1400,001,44,2023
110472235978,Oliver St,M,S1400,001,44,2023
110472235701,Peter Rd,M,S1400,001,44,2023
110472235741,State St,M,S1400,001,44,2023
110472235436,John St,M,S1400,001,44,2023
110472236527,Wardwell St,M,S1400,001,44,2023
110472235822,Church St,M,S1400,001,44,2023
110472236091,Wilson St,M,S1400,001,44,2023
1103035706526,NA,NA,S1400,001,44,2023
110472236044,Summer St,M,S1400,001,44,2023
110472236469,Prospect St,M,S1400,001,44,2023
110472236478,Richmond St,M,S1400,001,44,2023
110472236502,Shamrock Ct,M,S1400,001,44,2023
110472236312,Waltham St,M,S1400,001,44,2023
110472236686,Roosevelt Dr,M,S1400,001,44,2023
110472237239,NA,NA,S1630,001,44,2023
110472237242,NA,NA,S1630,001,44,2023
110472236074,Violet Ct,M,S1400,001,44,2023
110472236137,Charles St,M,S1400,001,44,2023
110472235450,Lawn St,M,S1400,001,44,2023
110472235328,State Rte 136,S,S1200,001,44,2023
110472235327,State Rte 136,S,S1200,001,44,2023
110472236696,Spinnaker Ln,M,S1400,001,44,2023
110472235361,Jel Way,M,S1400,001,44,2023
110472236157,Daponte Ct,M,S1400,001,44,2023
110472236204,Johnson Ct,M,S1400,001,44,2023
110472235375,Addy Dr,M,S1400,001,44,2023
110472236203,Jessica Dr,M,S1400,001,44,2023
1103556707485,Barbara Dr,M,S1400,001,44,2023
110472237214,NA,NA,S1400,001,44,2023
110472235702,Plant Ave,M,S1400,001,44,2023
110472236638,Kickemuit Ave,M,S1400,001,44,2023
110472235828,Clarks Row,M,S1400,001,44,2023
110472237180,NA,NA,S1400,001,44,2023
110472236428,Lindberg Ave,M,S1400,001,44,2023
110472236790,Sea Breeze Ln,M,S1400,001,44,2023
110472237108,NA,NA,S1400,001,44,2023
1103466777897,Oak Rd,M,S1400,001,44,2023
110472237253,NA,NA,S1740,001,44,2023
110472237228,NA,NA,S1400,001,44,2023
1103672896613,Seal Island Rd,M,S1400,001,44,2023
1103730874658,Casey Dr,M,S1400,001,44,2023
110472236101,Ambrose Ct,M,S1400,001,44,2023
110472235359,Ivy Dr,M,S1400,001,44,2023
110472237102,NA,NA,S1400,001,44,2023
1103299834957,Sheraton Rd,M,S1400,001,44,2023
